#===============
# ll~ : tavt
# qq~ : cd~
# FF  : scalar-tensor
# XY  : LL LR RL RR
# coef : 0 0
# type : Reg*Reg
# Nevs : 50000
#===============
#
# XSEC	BIN_MIN	BIN_MAX 	 Kij 
#
0.09811  200.0  300.0  0.00518	0.07386	0.06124	0.01888	0.00116	6e-05	2e-05	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.02779  300.0  400.0  0.00198	0.0333	0.05114	0.05944	0.0429	0.01336	0.00146	6e-05	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.05323  400.0  500.0  0.00098	0.01658	0.02568	0.03534	0.0409	0.04482	0.032	0.01068	0.00092	0.00014	6e-05	0.0	2e-05	0.0	0.0	0.0	
-0.0192  500.0  600.0  0.00058	0.00936	0.01542	0.0217	0.02772	0.0311	0.03464	0.03462	0.02482	0.00808	0.00086	2e-05	0.0	2e-05	4e-05	0.0	
-0.03315  600.0  700.0  0.00048	0.00576	0.01034	0.01374	0.01776	0.02048	0.02492	0.02708	0.02702	0.02756	0.01786	0.007	0.00108	6e-05	0.0	0.0	
-0.0274  700.0  800.0  0.00034	0.00396	0.00716	0.0089	0.0103	0.01484	0.0179	0.02016	0.0207	0.02232	0.02278	0.02088	0.01416	0.00726	6e-05	0.0	
-0.00343  800.0  900.0  0.00016	0.00248	0.00514	0.00726	0.0082	0.0114	0.0127	0.01444	0.01586	0.01682	0.01826	0.01828	0.01782	0.03288	0.00254	2e-05	
-0.00442  900.0  1000.0  0.0001	0.00202	0.00374	0.00514	0.00656	0.0081	0.01034	0.01134	0.01172	0.0134	0.014	0.01474	0.0154	0.03716	0.02108	0.00108	
-0.00169  1000.0  1100.0  4e-05	0.0014	0.00278	0.00422	0.00508	0.00614	0.00706	0.00836	0.00904	0.01042	0.01156	0.0127	0.01164	0.03186	0.03162	0.01176	
-0.00067  1100.0  1200.0  4e-05	0.00096	0.00198	0.00342	0.00396	0.00462	0.0052	0.00676	0.00788	0.00796	0.00942	0.00948	0.00954	0.02664	0.02716	0.03156	
-0.0004  1200.0  1300.0  2e-05	0.0006	0.00156	0.00248	0.0036	0.00408	0.00424	0.00526	0.0056	0.0068	0.0072	0.00844	0.00876	0.02322	0.02368	0.04472	
-0.00091  1300.0  1400.0  4e-05	0.00062	0.00114	0.00184	0.0028	0.00336	0.00398	0.00426	0.00486	0.00522	0.00588	0.00582	0.0073	0.01998	0.0201	0.05554	
-0.00051  1400.0  1500.0  4e-05	0.0005	0.00068	0.00144	0.00234	0.0026	0.00282	0.00368	0.00386	0.00454	0.0053	0.00532	0.0061	0.0163	0.01746	0.0625	
-0.00047  1500.0  1750.0  0.0	0.00048	0.00062	0.001	0.00184	0.00206	0.00272	0.0027	0.00326	0.00352	0.00384	0.00362	0.00464	0.01242	0.01438	0.069	
3e-05  1750.0  2000.0  2e-05	0.00042	0.00038	0.00064	0.00074	0.00118	0.00152	0.00242	0.00174	0.00248	0.00262	0.0035	0.00304	0.00818	0.01012	0.07336	
-2e-05  2000.0  10000.0  2e-05	0.00032	0.00056	0.00042	0.00048	0.00088	0.00108	0.0013	0.00102	0.00148	0.00156	0.00202	0.0017	0.00516	0.00672	0.06828	
