#===============
# ll~ : tavt
# qq~ : sc~
# FF  : scalar-tensor
# XY  : LL LR RL RR
# coef : 0 0
# type : Reg*Reg
# Nevs : 50000
#===============
#
# XSEC	BIN_MIN	BIN_MAX 	 Kij 
#
-0.0575  200.0  300.0  0.00554	0.07134	0.05788	0.0171	0.00114	0.0001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.06547  300.0  400.0  0.00196	0.0309	0.04826	0.05752	0.04084	0.01284	0.00122	8e-05	0.0	2e-05	2e-05	0.0	0.0	0.0	0.0	0.0	
-0.01623  400.0  500.0  0.00112	0.01606	0.02676	0.03154	0.04022	0.04436	0.02996	0.00966	0.00134	4e-05	4e-05	0.0	2e-05	0.0	0.0	0.0	
0.02275  500.0  600.0  0.0005	0.00884	0.0157	0.02062	0.02638	0.0303	0.03288	0.03358	0.02324	0.00918	0.00116	8e-05	4e-05	0.0	2e-05	0.0	
-0.01426  600.0  700.0  0.0005	0.00556	0.0098	0.01254	0.01686	0.02076	0.0238	0.02524	0.02722	0.02654	0.0178	0.00712	0.00078	6e-05	0.0	0.0	
0.00365  700.0  800.0  0.00024	0.0037	0.006	0.00824	0.01156	0.01422	0.0173	0.01934	0.0201	0.02086	0.02124	0.02122	0.01456	0.00694	8e-05	6e-05	
0.0114  800.0  900.0  0.00012	0.00248	0.00484	0.00664	0.00768	0.00992	0.01196	0.01416	0.01488	0.01694	0.0174	0.01754	0.01854	0.03178	0.00278	6e-05	
0.00262  900.0  1000.0  8e-05	0.00174	0.0031	0.0046	0.00624	0.00748	0.00918	0.01084	0.01222	0.01342	0.01298	0.01456	0.01456	0.0372	0.0197	0.0013	
0.00385  1000.0  1100.0  8e-05	0.00112	0.00214	0.00356	0.00478	0.00602	0.00708	0.00746	0.00946	0.00942	0.01088	0.01264	0.01306	0.0319	0.03012	0.0119	
-0.00115  1100.0  1200.0  2e-05	0.0009	0.00184	0.00326	0.00358	0.00402	0.00538	0.0056	0.00754	0.00816	0.0086	0.00942	0.01026	0.02594	0.02844	0.02996	
-0.00073  1200.0  1300.0  8e-05	0.00064	0.00154	0.00228	0.00292	0.00368	0.00412	0.0047	0.00552	0.00642	0.00654	0.00724	0.00764	0.02292	0.02276	0.0445	
0.00064  1300.0  1400.0  6e-05	0.00056	0.00112	0.00226	0.00264	0.00318	0.00318	0.00388	0.0044	0.0053	0.00566	0.00666	0.00662	0.01966	0.01886	0.05524	
0.00072  1400.0  1500.0  8e-05	0.00078	0.00086	0.00126	0.00206	0.0028	0.00326	0.00326	0.00406	0.00424	0.00528	0.00554	0.0054	0.01668	0.01756	0.06338	
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
0.00048  1750.0  2000.0  2e-05	0.0003	0.00034	0.00054	0.0009	0.00132	0.00184	0.00192	0.00236	0.00242	0.00266	0.00324	0.00314	0.00834	0.0094	0.07276	
-5e-05  2000.0  10000.0  2e-05	0.0003	0.00032	0.00042	0.00038	0.00046	0.00102	0.00124	0.00122	0.00142	0.00166	0.00172	0.00182	0.0049	0.00638	0.0687	
