#===============
# ll~ : tavt
# qq~ : ub~
# FF  : scalar-tensor
# XY  : LL LR RL RR
# coef : 0 0
# type : Reg*Reg
# Nevs : 50000
#===============
#
# XSEC	BIN_MIN	BIN_MAX 	 Kij 
#
0.12748  200.0  300.0  0.0044	0.05644	0.05152	0.0174	0.00142	4e-05	6e-05	4e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
-0.888  300.0  400.0  0.00188	0.02716	0.04426	0.05266	0.0402	0.0133	0.0013	8e-05	0.0	4e-05	2e-05	0.0	0.0	2e-05	0.0	0.0	
-0.41172  400.0  500.0  0.0008	0.01468	0.02338	0.03196	0.03856	0.04032	0.02958	0.01	0.00138	0.00012	4e-05	2e-05	6e-05	6e-05	0.0	0.0	
-0.3414  500.0  600.0  0.00066	0.00886	0.0134	0.01986	0.0242	0.02854	0.03204	0.03248	0.02256	0.00822	0.00112	0.00014	4e-05	6e-05	0.0	0.0	
0.18994  600.0  700.0  0.00048	0.0056	0.00828	0.01242	0.01676	0.02076	0.02308	0.02626	0.0263	0.02724	0.0175	0.00608	0.00126	0.00016	8e-05	0.0	
0.02221  700.0  800.0  0.00022	0.00332	0.00608	0.00836	0.01124	0.0141	0.01628	0.01826	0.0191	0.02112	0.02234	0.01956	0.01368	0.0072	0.00012	4e-05	
-0.04411  800.0  900.0  0.00014	0.00236	0.00434	0.00596	0.0081	0.0105	0.01174	0.0137	0.01442	0.01602	0.01842	0.01846	0.01734	0.03074	0.00322	0.00012	
-0.01566  900.0  1000.0  0.00016	0.0015	0.00298	0.00482	0.00612	0.00738	0.00846	0.01016	0.01186	0.0118	0.01394	0.01472	0.0153	0.03716	0.01968	0.00128	
-0.0029  1000.0  1100.0  0.0001	0.00116	0.00236	0.00352	0.00452	0.00592	0.00652	0.008	0.0087	0.00956	0.01082	0.01192	0.01268	0.03164	0.03074	0.013	
0.0043  1100.0  1200.0  4e-05	0.0009	0.00174	0.00278	0.0039	0.00428	0.00584	0.00594	0.00736	0.0073	0.00874	0.01006	0.01066	0.02654	0.0271	0.03058	
-0.04215  1200.0  1300.0  4e-05	0.00064	0.00124	0.00198	0.00258	0.00356	0.00384	0.00438	0.00596	0.00704	0.00748	0.0076	0.00824	0.02194	0.02366	0.04438	
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
-0.0145  1500.0  1750.0  0.0	0.00026	0.00052	0.0009	0.00152	0.00198	0.00226	0.00262	0.00342	0.00338	0.00362	0.00422	0.00452	0.01254	0.01326	0.06774	
-0.00729  1750.0  2000.0  2e-05	0.00018	0.00038	0.00062	0.00084	0.00134	0.00206	0.00168	0.002	0.00196	0.00244	0.00268	0.00278	0.00838	0.0093	0.07022	
-0.00905  2000.0  10000.0  6e-05	0.0003	0.0002	0.00052	0.00058	0.00056	0.00074	0.00112	0.00146	0.0015	0.00184	0.00164	0.00178	0.00526	0.00604	0.0695	
