#===============
# ll~ : tavt
# qq~ : su~
# FF  : scalar
# XY  : LL LR RL RR
# coef : 0 0
# type : Reg*Reg
# Nevs : 50000
#===============
#
# XSEC	BIN_MIN	BIN_MAX 	 Kij 
#
26.114  200.0  300.0  0.00446	0.0722	0.06418	0.02042	0.00102	2e-05	0.0	0.0	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
15.2554  300.0  400.0  0.00216	0.0324	0.04954	0.06062	0.04334	0.01408	0.00092	0.00012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9.374  400.0  500.0  0.00108	0.01618	0.0259	0.03636	0.04086	0.04556	0.03262	0.0104	0.00128	8e-05	2e-05	0.0	0.0	0.0	0.0	0.0	
5.9568  500.0  600.0  0.00074	0.00976	0.01582	0.02266	0.026	0.03176	0.0344	0.03462	0.02348	0.00854	0.00088	0.0	0.0	0.0	0.0	2e-05	
3.865  600.0  700.0  0.00042	0.00568	0.00968	0.01288	0.01762	0.02138	0.02416	0.02706	0.02874	0.02714	0.01844	0.00674	0.00072	6e-05	0.0	2e-05	
2.568  700.0  800.0  0.0001	0.0043	0.00696	0.0093	0.01228	0.01456	0.0176	0.01956	0.01974	0.02186	0.02164	0.02158	0.01512	0.00654	8e-05	0.0	
1.7268  800.0  900.0  4e-05	0.00244	0.00538	0.00676	0.00824	0.01068	0.0135	0.01486	0.01586	0.01626	0.01808	0.01858	0.01814	0.03192	0.00246	4e-05	
1.17622  900.0  1000.0  8e-05	0.00188	0.0036	0.00508	0.00638	0.0076	0.0093	0.01028	0.01318	0.014	0.0143	0.014	0.01436	0.03904	0.02076	0.00108	
0.81222  1000.0  1100.0  6e-05	0.00138	0.00298	0.00352	0.00452	0.00552	0.00664	0.00812	0.01008	0.0104	0.01152	0.01218	0.01158	0.03382	0.02954	0.01188	
0.56256  1100.0  1200.0  0.00014	0.00068	0.00202	0.00316	0.00394	0.0046	0.00546	0.00634	0.00712	0.00716	0.00876	0.00984	0.01082	0.02766	0.02722	0.03048	
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
0.28284  1500.0  1750.0  6e-05	0.0005	0.00068	0.00096	0.00138	0.00244	0.00254	0.00286	0.0037	0.00318	0.00384	0.00384	0.00468	0.01248	0.01402	0.06918	
None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	
0.10534  2000.0  10000.0  2e-05	0.00032	0.00036	0.00038	0.00044	0.0005	0.00106	0.001	0.0013	0.00136	0.00168	0.00166	0.00206	0.00502	0.00552	0.06876	
